2001 год: Космическая одиссея,2001: A Space Odyssey,1968,"США, Великобритания",Фантастика
Интерстеллар,Interstellar,2014,"США, Великобритания, Канада",Фантастика
Через тернии к звёздам,,1980,СССР,Фантастика
Люди в черном,Men in Black,1997,США,Фантастика
Назад в будущее,Back to the Future,1985,США,Фантастика
Звездные войны: Эпизод 3 – Месть Ситхов,Star Wars: Episode III - Revenge of the Sith,2005,США,Фантастика
Кин-дза-дза!,,1986,СССР,Фантастика
Пекло,Sunshine,2007,США,Фантастика
"Я, робот","I, Robot",2004,"США, Германия",Фантастика
Восхождение Юпитер,Jupiter Ascending,2015,"США, Великобритания",Фантастика
Вспомнить всё,Total Recall,1990,США,Фантастика
"Мио, мой Мио",Mio min Mio,1987,"Швеция, СССР, Норвегия",Фэнтези
Властелин колец: Возвращение Короля,The Lord of the Rings: The Return of the King,2003,"США, Новая Зеландия",Фэнтези
Гарри Поттер и Дары Смерти: Часть II,Harry Potter and the Deathly Hallows: Part 2,2011,"США, Великобритания",Фэнтези
Хоббит: Нежданное путешествие,The Hobbit: An Unexpected Journey,2012,"США, Новая Зеландия",Фэнтези
Малефисента,Maleficent,2014,"США, Великобритания",Фэнтези
Алиса в стране чудес,Alice in Wonderland,2010,США,Фэнтези
Звездная пыль,Stardust,2007,"Великобритания, США, Исландия",Фэнтези
Принцесса-невеста,The Princess Bride,1987,США,Фэнтези
Мерлин,Merlin,1993,Великобритания,Фэнтези
"Хроники Нарнии: Лев, колдунья и волшебный шкаф","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"США, Великобритания",Фэнтези
Перси Джексон и похититель молний,Percy Jackson & the Olympians: The Lightning Thief,2010,США,Фэнтези
Кольцо Нибелунгов,Ring of the Nibelungs,2004,"Германия, Великобритания, ЮАР",Фэнтези
Золотой компас,The Golden Compass,2007,"США, Великобритания",Фэнтези
Горец,Highlander,1986,Великобритания,Фэнтези
Сердце дракона,DragonHeart,1996,США,Фэнтези
Бесконечная история,Die unendliche Geschichte,1984,"Германия (ФРГ), США",Фэнтези
Дневной дозор,,2005,Россия,Фэнтези
Ван Хельсинг,Van Helsing,2004,"США, Чехия",Фэнтези
Ученик чародея,The Sorcerer's Apprentice,2010,США,Фэнтези
Джек — покоритель великанов,Jack the Giant Slayer,2013,США,Фэнтези
Война миров Z,World War Z,2013,США,Катастрофа
Землетрясение,Tangshan da dizhen,2010,Китай,Катастрофа
Армагеддон,Armageddon,1998,США,Катастрофа
Вулкан,Volcano ,1997,США,Катастрофа
Пик Данте,Dante's Peak,1997,США,Катастрофа
Послезавтра,The Day After Tomorrow,2004,США,Катастрофа
Столкновение с бездной,Deep Impact,1998,США,Катастрофа
Помпеи,Pompeii,2014,"Канада, Германия",Катастрофа
Навстречу шторму,Into the Storm,2014,США,Катастрофа
Вздымающийся ад,The Towering Inferno,1974,США,Катастрофа
Идеальный шторм,The Perfect Storm,2000,США,Катастрофа
Годзилла,Godzilla,1998,"США, Япония",Катастрофа
Смерч,Twister,1996,США,Катастрофа
2012,2012,2009,США,Катастрофа
Акулий торнадо,Sharknado,2013,США,Катастрофа
Невозможное,Lo imposible,2012,Испания,Катастрофа
Эпидемия,Outbreak,1995,США,Катастрофа
Метро,,2012,Россия,Катастрофа
Выжить,Alive,1992,"США, Канада",Катастрофа
Экипаж,,1979,СССР,Катастрофа
Мстители,Avengers,2012,США,Комиксы
Тёмный рыцарь,The Dark Knight,2008,США,Комиксы
Железный человек,Iron Man,2008,США,Комиксы
Стражи галактики,Guardians of the Galaxy,2014,США,Комиксы
Человек из стали,Man of Steel,2013,США,Комиксы
Тор,Thor,2011,США,Комиксы
Хранители,The Watchmen,2009,США,Комиксы
«V» значит Вендетта,V for Vendetta,2006,США,Комиксы
Люди икс: Первый класс,X-men: First class,2011,США,Комиксы
Пипец,Kick-Ass,2010,США,Комиксы
Хэллбой: Герой из Пекла,Hellboy,2004,США,Комиксы
Константин,Constantin,2005,США,Комиксы
Фантастическая четвёрка,The Fantastic Four,2005,США,Комиксы
Человек паук,Spider-Man,2002,США,Комиксы
Сорвиголова,Daredevil,2003,США,Комиксы
Первый мститель,Captain America: The First Avenger,2011,США,Комиксы
Хэнкок,Hancock,2008,США,Комиксы
Судья Дредд,Judge Dredd,1995,США,Комиксы
Блэйд,Blade ,1998,США,Комиксы
Ворон,The Crow ,1994,США,Комиксы
